dot_values,colour_values,participant,response,response_time,date,correct_response,answered_correctly
5.0,Orange,110,m,0.0914621353149,2016_Aug_16_1429,m,1
7.0,DarkGray,110,m,0.0431299209595,2016_Aug_16_1429,m,1
3.0,Yellow,110,,,2016_Aug_16_1429,m,0
1.0,LightPink,110,,,2016_Aug_16_1429,m,0
8.0,Brown,110,,,2016_Aug_16_1429,m,0
6.0,Purple,110,,,2016_Aug_16_1429,m,0
5.0,Orange,110,,,2016_Aug_16_1429,m,0
7.0,DarkGray,110,,,2016_Aug_16_1429,m,0
3.0,Blue,110,m,0.0910270214081,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.0830709934235,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.12332701683,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.194977045059,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.179343938828,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.315300226212,2016_Aug_16_1429,m,1
4.0,Blue,110,m,0.266994953156,2016_Aug_16_1429,m,1
1.0,Red,110,m,0.274892091751,2016_Aug_16_1429,m,1
8.0,Green,110,m,0.347208976746,2016_Aug_16_1429,m,1
6.0,Purple,110,m,0.298897027969,2016_Aug_16_1429,m,1
9.0,Orange,110,m,0.291157960892,2016_Aug_16_1429,m,1
2.0,DarkGray,110,m,0.395166873932,2016_Aug_16_1429,m,1
4.0,Yellow,110,m,0.25917506218,2016_Aug_16_1429,m,1
1.0,LightPink,110,m,0.234958171844,2016_Aug_16_1429,m,1
8.0,Brown,110,m,0.203041791916,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.259108066559,2016_Aug_16_1429,m,1
9.0,Red,110,m,0.291053056717,2016_Aug_16_1429,m,1
2.0,Green,110,m,0.298873901367,2016_Aug_16_1429,m,1
4.0,Purple,110,m,0.218918085098,2016_Aug_16_1429,m,1
1.0,Orange,110,m,0.11497092247,2016_Aug_16_1429,m,1
8.0,DarkGray,110,m,0.0990040302277,2016_Aug_16_1429,m,1
6.0,Blue,110,m,0.23513007164,2016_Aug_16_1429,m,1
5.0,Red,110,m,0.066880941391,2016_Aug_16_1429,m,1
